Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Training,1553.09,3.20,1978.83,70.1,88.73,185,0,0,133.45912623405457,1
2,Training,1394.93,3.03,1817.87,75.98,89.22,26,0,0,13.089618682861328,1
3,Training,1272.76,2.92,1682.17,76.96,89.71,26,0,0,13.33258843421936,1
4,Training,1196.54,2.78,1568.24,81.37,91.67,26,0,0,13.43820571899414,1
5,Training,1246.6,2.89,1562.52,79.41,94.12,26,0,0,13.528555393218994,1
6,Training,1256.3,2.88,1513.84,79.41,95.59,26,0,0,13.206488609313965,1
7,Training,1256.29,2.85,1527.02,78.43,97.06,26,0,0,12.598583936691284,1
8,Training,1149.65,2.57,1398.27,85.29,98.53,26,0,0,12.246705293655396,1
9,Training,1036.3,2.27,1281.37,87.25,100.0,26,0,0,12.461841583251953,1
10,Training,1077.23,2.28,1367.18,83.33,97.55,26,0,0,12.101389646530151,1
