Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Outlier,2782.92,5.85,2846.25,16.67,66.67,130,4,0,48.740169525146484,1
2,Outlier,6571.26,15.89,6600.7,0.0,0.0,26,0,0,8.656627416610718,1
3,Outlier,4680.1,13.18,4900.37,0.0,16.67,26,0,0,8.89296841621399,1
4,Outlier,3151.17,7.78,3667.58,50.0,66.67,26,0,0,9.193502187728882,1
5,Outlier,4745.17,10.38,4809.18,0.0,0.0,26,0,0,8.150518417358398,1
6,Outlier,4143.57,8.96,4150.49,0.0,0.0,26,0,0,7.851372003555298,1
7,Outlier,3599.18,7.51,3612.95,0.0,0.0,26,0,0,8.946932077407837,1
8,Outlier,3680.32,8.17,3687.67,0.0,0.0,26,0,0,8.341294288635254,1
9,Outlier,3535.76,7.73,3555.09,0.0,0.0,26,0,0,9.251760482788086,1
10,Outlier,3491.93,7.57,3500.99,0.0,0.0,26,0,0,8.057894468307495,1
11,Outlier,3235.65,6.54,3243.99,0.0,0.0,26,0,0,9.169244289398193,1
12,Outlier,5217.02,12.33,5408.11,0.0,0.0,26,0,0,8.591772079467773,1
