Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
82,Training,924.21,1.90,1131.47,93.14,100.0,4,0,0,2.0637478828430176,1
83,Training,1006.29,2.08,1286.29,89.22,98.04,4,0,0,2.326627016067505,1
84,Training,1031.19,2.15,1338.55,84.31,97.06,4,0,0,2.095346450805664,1
85,Training,1033.82,2.16,1335.96,84.31,98.04,4,0,0,2.0472230911254883,1
86,Training,1093.97,2.31,1406.6,85.29,97.06,4,0,0,1.942514181137085,1
87,Training,1256.18,2.64,1650.16,83.33,92.16,4,0,0,2.0502123832702637,1
88,Training,1307.94,2.73,1703.06,81.37,90.2,4,0,0,1.8047471046447754,1
89,Training,1313.53,2.74,1708.55,82.35,90.2,4,0,0,1.8137552738189697,1
90,Training,1249.86,2.61,1666.86,83.33,89.22,4,0,0,1.8991868495941162,1
91,Training,1211.06,2.52,1640.57,84.31,89.22,4,0,0,1.8049399852752686,1
92,Training,1376.58,2.81,1846.23,78.43,85.29,4,0,0,1.840106725692749,1
