Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Outlier,7003.58,13.71,7114.36,0.0,0.0,185,0,0,54.182576179504395,1
2,Outlier,5698.78,11.72,5746.25,0.0,0.0,4,0,0,1.4394352436065674,1
3,Outlier,5734.33,11.89,5787.67,0.0,0.0,4,0,0,1.3018255233764648,1
4,Outlier,5892.58,12.62,5933.27,0.0,0.0,4,0,0,1.0938658714294434,1
5,Outlier,6236.75,14.77,6264.31,0.0,0.0,4,0,0,1.0856678485870361,1
6,Outlier,6723.33,16.35,6748.22,0.0,0.0,4,0,0,1.0846991539001465,1
7,Outlier,7151.17,18.92,7157.06,0.0,0.0,4,0,0,1.3005225658416748,1
8,Outlier,6896.75,18.19,6902.57,0.0,0.0,4,0,0,1.3251066207885742,1
9,Outlier,7339.08,18.87,7392.38,0.0,0.0,4,0,0,1.1844115257263184,1
10,Outlier,9838.71,25.70,10148.94,0.0,0.0,4,0,0,1.0819931030273438,1
11,Outlier,10916.07,29.32,10930.8,0.0,0.0,3,1,0,1.7665185928344727,1
12,Outlier,8896.13,23.82,8917.92,0.0,0.0,1,3,0,11.112968444824219,1
13,Outlier,8848.17,23.69,8870.2,0.0,0.0,4,0,0,1.1137239933013916,1
14,Outlier,8562.93,22.93,8584.17,0.0,0.0,4,0,0,1.124804973602295,1
15,Outlier,8246.34,22.08,8266.31,0.0,0.0,4,0,0,1.0766053199768066,1
16,Outlier,7951.29,21.29,7970.09,0.0,0.0,4,0,0,1.1759345531463623,1
17,Outlier,7619.32,20.47,7635.7,0.0,0.0,4,0,0,1.2055222988128662,1
18,Outlier,7412.06,19.91,7427.31,0.0,0.0,4,0,0,1.12623929977417,1
19,Outlier,7170.75,19.27,7185.47,0.0,0.0,4,0,0,1.124776840209961,1
20,Outlier,6813.04,17.87,6823.7,0.0,0.0,4,0,0,1.0841941833496094,1
21,Outlier,6699.86,17.57,6709.79,0.0,0.0,4,0,0,1.0798215866088867,1
22,Outlier,6659.28,17.46,6669.33,0.0,0.0,4,0,0,1.128129243850708,1
23,Outlier,6630.75,17.39,6640.85,0.0,0.0,4,0,0,1.1530025005340576,1
24,Outlier,6592.08,17.29,6602.05,0.0,0.0,4,0,0,1.1765367984771729,1
25,Outlier,6570.19,17.23,6580.08,0.0,0.0,4,0,0,1.2380359172821045,1
