Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Training,1130.33,2.15,1560.98,84.28,94.34,139,1,0,53.902485847473145,1
2,Training,1135.13,2.23,1611.61,83.65,90.57,11,1,0,5.928783655166626,1
3,Training,1118.42,2.23,1594.34,84.28,90.57,11,1,0,4.355740070343018,1
4,Training,1230.36,2.55,1675.1,81.13,91.82,11,1,0,4.929629325866699,1
5,Training,1192.95,2.60,1595.01,81.76,91.82,11,0,1,31.309417724609375,4
6,Training,1291.19,2.95,1683.69,78.62,91.19,12,0,0,1.274780511856079,4
7,Training,1259.43,2.96,1660.09,80.5,91.19,12,0,0,1.1812033653259277,4
8,Training,1286.1,3.10,1696.16,79.25,91.19,12,0,0,0.8386325836181641,4
9,Training,1312.16,3.24,1726.15,77.36,90.57,12,0,0,0.9787158966064453,4
10,Training,1852.44,4.32,2395.84,57.23,78.62,6,0,6,117.73242592811584,18
11,Training,1396.02,3.39,1921.55,74.84,86.16,11,0,1,309.742173910141,21
12,Training,1400.35,3.41,1921.03,73.58,86.16,12,0,0,353.06256008148193,21
13,Training,1651.25,3.92,2146.83,64.15,81.76,12,0,0,351.4669153690338,21
14,Training,1671.78,3.94,2101.63,65.41,83.02,12,0,0,352.002286195755,21
15,Training,1577.38,3.67,1977.17,67.3,86.16,12,0,0,356.9655547142029,21
16,Training,1462.64,3.38,1869.47,72.33,87.42,12,0,0,324.5087854862213,21
17,Training,1391.09,3.19,1767.81,75.47,90.57,12,0,0,312.4819288253784,21
18,Training,1192.75,2.65,1480.39,82.39,96.23,12,0,0,302.2419476509094,21
19,Training,1228.23,2.69,1520.98,81.13,97.48,12,0,0,281.9062354564667,21
20,Training,1230.55,2.64,1519.71,81.13,97.48,12,0,0,283.58109045028687,21
21,Training,1288.46,2.73,1552.22,81.13,97.48,12,0,0,285.07838463783264,21
22,Training,1221.47,2.52,1506.23,84.28,97.48,12,0,0,284.74178671836853,21
23,Training,1133.8,2.30,1391.67,87.42,98.74,12,0,0,282.35011982917786,21
24,Training,1332.53,2.75,1763.83,76.73,91.82,10,1,1,282.86793208122253,24
25,Training,1442.79,3.00,1911.54,74.21,89.31,12,0,0,320.3973867893219,24
26,Training,1498.55,3.11,1981.5,74.21,88.68,12,0,0,320.1607038974762,24
