Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Training,1323.61,2.73,1672.94,77.83,92.92,193,0,0,56.721461057662964,1
2,Training,1246.45,2.76,1622.72,79.72,92.45,33,0,1,34.00407648086548,4
3,Training,1301.69,2.98,1665.2,80.66,91.51,33,1,0,5.965063571929932,4
4,Training,1174.06,2.76,1483.2,83.02,94.34,33,0,1,34.9952232837677,4
5,Training,1346.06,3.10,1720.28,77.36,90.57,34,0,0,8.99448013305664,4
6,Training,1465.76,3.31,1844.73,72.64,88.68,34,0,0,9.173461437225342,4
7,Training,1377.44,3.11,1723.0,74.06,91.98,34,0,0,10.165303468704224,4
8,Training,1239.94,2.76,1592.85,79.25,92.92,34,0,0,10.069652080535889,4
9,Training,1126.77,2.43,1479.09,84.43,93.87,34,0,0,10.056514263153076,4
10,Training,1178.79,2.54,1558.55,83.02,94.34,33,1,0,21.047224044799805,4
