Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Training,1082.25,2.04,1364.76,83.66,96.73,134,0,0,60.76236414909363,1
2,Training,1476.92,2.98,1953.34,67.97,85.62,26,0,0,10.868175029754639,1
3,Training,1320.44,2.79,1659.24,75.16,92.16,26,0,0,10.950381994247437,1
4,Training,1311.06,3.01,1560.49,79.74,96.73,26,0,0,11.033100605010986,1
5,Training,1328.59,3.19,1582.69,78.43,94.77,26,0,0,10.950133800506592,1
6,Training,1313.36,3.17,1559.64,77.78,97.39,26,0,0,10.895954608917236,1
7,Training,1455.84,3.45,1775.85,71.9,90.85,26,0,0,10.998433589935303,1
8,Training,1485.25,3.40,1826.85,73.2,90.85,26,0,0,11.24616551399231,1
9,Training,1390.27,3.05,1761.48,75.82,90.2,26,0,0,10.927772760391235,1
10,Training,1389.01,2.96,1747.11,75.82,90.2,26,0,0,11.175729513168335,1
11,Training,1161.08,2.36,1492.21,81.05,94.77,26,0,0,10.771207094192505,1
12,Training,1303.76,2.66,1699.93,75.82,90.2,26,0,0,9.649944543838501,1
