Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Outlier,4295.48,11.36,4347.93,0.0,0.0,185,0,0,63.34531903266907,1
2,Outlier,4275.49,9.55,4406.08,0.0,0.0,12,0,0,4.311598062515259,1
3,Outlier,4892.15,11.41,4967.79,0.0,0.0,12,0,0,4.321390867233276,1
4,Outlier,4564.12,10.37,4710.61,0.0,0.0,12,0,0,4.289210319519043,1
5,Outlier,4469.0,9.79,4571.28,0.0,0.0,12,0,0,4.386961936950684,1
6,Outlier,4560.82,9.72,4648.01,0.0,0.0,12,0,0,4.31103777885437,1
7,Outlier,4512.71,9.61,4623.53,0.0,0.0,12,0,0,4.232906818389893,1
8,Outlier,3981.71,8.78,4023.57,0.0,0.0,12,0,0,4.209424734115601,1
9,Outlier,3970.78,8.26,3992.12,0.0,0.0,12,0,0,4.35832667350769,1
10,Outlier,3892.69,8.59,3920.45,0.0,0.0,12,0,0,4.309677362442017,1
11,Outlier,4387.57,8.95,4442.86,0.0,0.0,12,0,0,4.319015741348267,1
12,Outlier,4257.96,8.60,4281.48,0.0,0.0,12,0,0,4.42743992805481,1
13,Outlier,4239.44,8.59,4257.39,0.0,0.0,12,0,0,4.281739711761475,1
14,Outlier,4171.24,8.41,4190.21,0.0,0.0,12,0,0,4.4142091274261475,1
15,Outlier,4115.42,8.30,4135.98,0.0,0.0,12,0,0,4.2977728843688965,1
16,Outlier,4158.68,8.32,4180.32,0.0,0.0,12,0,0,4.292581081390381,1
17,Outlier,4124.8,8.20,4146.95,0.0,0.0,12,0,0,4.313359022140503,1
18,Outlier,4210.89,8.42,4244.04,0.0,0.0,12,0,0,4.5345587730407715,1
19,Outlier,4156.62,8.28,4192.19,0.0,0.0,12,0,0,4.445675373077393,1
20,Outlier,4591.37,10.00,4662.54,0.0,0.0,12,0,0,4.160999536514282,1
21,Outlier,4619.31,10.32,4706.12,0.0,0.0,12,0,0,4.2963926792144775,1
22,Outlier,4604.5,10.33,4728.42,0.0,0.0,12,0,0,4.23862886428833,1
