Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Inferencing,7229.74,19.97,7376.87,0.0,0.0,193,0,0,57.08208155632019,1
2,Inferencing,2307.04,5.51,3209.46,57.69,65.38,26,0,0,6.889915704727173,1
3,Inferencing,1696.22,3.60,2146.65,69.23,80.77,26,0,0,7.1166112422943115,1
4,Inferencing,2447.7,4.64,2915.1,46.15,57.69,25,1,0,10.26561951637268,1
5,Inferencing,1478.73,2.83,1749.81,65.38,92.31,26,0,0,6.937070369720459,1
6,Inferencing,2103.65,4.28,2320.09,42.31,69.23,26,0,0,7.193195819854736,1
7,Inferencing,1253.64,2.61,1489.01,84.62,100.0,26,0,0,6.919162034988403,1
8,Inferencing,1372.76,2.91,1496.03,80.77,100.0,26,0,0,7.018993854522705,1
9,Inferencing,2011.44,4.68,2682.11,61.54,76.92,26,0,0,6.939584493637085,1
10,Inferencing,2999.03,5.59,3671.56,24.0,68.0,26,0,0,7.02890682220459,1
