Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Outlier,5355.41,11.37,5401.54,0.0,0.0,134,0,0,45.40571069717407,1
2,Outlier,5657.86,12.91,5785.78,0.0,0.0,26,0,0,6.681338787078857,1
3,Outlier,5165.84,11.71,5306.6,0.0,0.0,26,0,0,6.70117449760437,1
4,Outlier,4867.52,10.89,5100.0,0.0,0.0,26,0,0,6.688266754150391,1
5,Outlier,7028.85,15.19,7145.38,0.0,0.0,26,0,0,6.879772663116455,1
6,Outlier,5854.4,13.03,5998.38,0.0,0.0,26,0,0,6.63880467414856,1
7,Outlier,5810.19,12.39,5846.39,0.0,0.0,26,0,0,6.554181098937988,1
8,Outlier,5794.51,11.94,5855.67,0.0,0.0,26,0,0,6.362595319747925,1
9,Outlier,5361.06,11.05,5423.33,0.0,0.0,26,0,0,6.296670913696289,1
10,Outlier,4846.04,10.03,4898.73,0.0,0.0,26,0,0,6.343002080917358,1
11,Outlier,3818.04,7.39,3839.24,0.0,0.0,26,0,0,6.319350242614746,1
12,Outlier,6020.39,14.41,6253.07,0.0,0.0,26,0,0,6.308809518814087,1
