Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Inferencing,7173.42,16.70,7347.59,0.0,0.0,134,0,0,45.40571069717407,1
2,Inferencing,5235.09,13.86,5577.36,0.0,7.69,26,0,0,6.681338787078857,1
3,Inferencing,2496.3,6.95,2622.52,26.92,65.38,26,0,0,6.70117449760437,1
4,Inferencing,2399.39,5.53,3648.75,73.08,76.92,26,0,0,6.688266754150391,1
5,Inferencing,3239.89,6.97,3405.01,11.54,46.15,26,0,0,6.879772663116455,1
6,Inferencing,4913.03,9.56,5185.2,3.85,11.54,26,0,0,6.63880467414856,1
7,Inferencing,1311.8,2.51,1730.29,73.08,88.46,26,0,0,6.554181098937988,1
8,Inferencing,2154.79,4.34,2533.06,38.46,73.08,26,0,0,6.362595319747925,1
9,Inferencing,1783.35,3.64,2252.66,61.54,76.92,26,0,0,6.296670913696289,1
10,Inferencing,1981.11,4.19,2087.13,53.85,92.31,26,0,0,6.343002080917358,1
11,Inferencing,2927.72,6.74,3513.88,34.62,61.54,26,0,0,6.319350242614746,1
12,Inferencing,5758.89,10.91,6087.29,0.0,0.0,26,0,0,6.308809518814087,1
