Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Outlier,7089.82,19.65,7205.09,0.0,0.0,185,0,0,128.80686902999878,1
2,Outlier,5416.43,14.80,5464.55,0.0,0.0,12,0,0,6.170730352401733,1
3,Outlier,5086.62,12.77,5183.49,0.0,0.0,12,0,0,6.096971035003662,1
4,Outlier,5299.39,11.40,5415.12,0.0,0.0,12,0,0,6.4704999923706055,1
5,Outlier,6452.42,14.01,6613.37,0.0,0.0,12,0,0,6.068520545959473,1
6,Outlier,6377.55,13.72,6508.16,0.0,0.0,12,0,0,6.1851887702941895,1
7,Outlier,6072.24,13.46,6241.82,0.0,0.0,12,0,0,6.201485872268677,1
8,Outlier,5598.18,12.58,5751.65,0.0,0.0,12,0,0,6.112131834030151,1
9,Outlier,5724.75,12.15,5821.63,0.0,0.0,12,0,0,6.209605693817139,1
10,Outlier,5635.14,12.00,5743.67,0.0,0.0,12,0,0,6.149194717407227,1
11,Outlier,5566.89,11.95,5695.02,0.0,0.0,12,0,0,6.192816257476807,1
12,Outlier,5489.18,11.80,5623.5,0.0,0.0,12,0,0,6.236215829849243,1
13,Outlier,5486.78,11.77,5614.94,0.0,0.0,12,0,0,5.937183856964111,1
14,Outlier,5484.14,12.03,5605.61,0.0,0.0,12,0,0,6.150858163833618,1
15,Outlier,5315.92,11.58,5461.45,0.0,0.0,12,0,0,5.638781785964966,1
16,Outlier,5393.56,11.73,5547.87,0.0,0.0,12,0,0,5.813385248184204,1
17,Outlier,5364.62,11.69,5512.61,0.0,0.0,12,0,0,5.754271745681763,1
18,Outlier,5391.61,11.76,5547.71,0.0,0.0,12,0,0,5.59911036491394,1
19,Outlier,5153.59,10.87,5345.06,0.0,0.0,12,0,0,5.805848836898804,1
20,Outlier,5807.88,13.17,5912.34,0.0,0.0,12,0,0,5.702622175216675,1
21,Outlier,5761.81,13.09,5863.11,0.0,0.0,12,0,0,5.761763572692871,1
22,Outlier,5538.68,12.62,5632.0,0.0,0.0,12,0,0,5.610196113586426,1
