Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Training,1369.76,2.45,1815.14,80.39,88.24,83,0,0,27.00715923309326,1
2,Training,1271.41,2.40,1628.22,77.45,91.18,26,0,0,9.243843078613281,1
3,Training,1297.4,2.55,1664.05,72.55,94.12,26,0,0,9.703181028366089,1
4,Training,2496.5,5.24,3054.43,43.14,63.73,26,0,0,9.63601803779602,1
5,Training,2078.08,4.65,2700.18,58.82,71.57,24,2,0,6.9627509117126465,1
6,Training,2182.55,5.37,2739.04,50.0,63.73,26,0,0,12.192559480667114,1
7,Training,2061.8,5.19,2548.33,57.84,76.47,26,0,0,12.072854280471802,1
8,Training,1719.52,4.26,2120.36,62.75,84.31,26,0,0,12.409924745559692,1
9,Training,2307.11,5.21,2949.95,51.96,69.61,23,2,1,54.036720275878906,4
10,Training,1094.28,2.37,1367.26,88.24,96.08,26,0,0,12.439697980880737,4
11,Training,973.82,1.97,1189.72,92.16,99.02,26,0,0,12.471263885498047,4
12,Training,842.51,1.68,1013.08,95.1,100.0,26,0,0,12.280173778533936,4
13,Training,606.51,1.23,778.91,98.04,100.0,26,0,0,12.690619707107544,4
14,Training,691.06,1.44,876.13,96.08,100.0,26,0,0,12.654398679733276,4
15,Training,727.72,1.52,956.37,95.1,99.02,26,0,0,12.490021705627441,4
