Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Inferencing,5396.12,15.09,5430.39,0.0,0.0,185,0,0,69.79319334030151,1
2,Inferencing,1924.79,5.30,2082.8,50.0,83.33,12,0,0,4.538003921508789,1
3,Inferencing,706.45,1.91,829.2,100.0,100.0,12,0,0,4.297288179397583,1
4,Inferencing,1786.59,4.34,2765.04,75.0,83.33,12,0,0,4.007180452346802,1
5,Inferencing,4959.68,10.67,5064.06,0.0,0.0,12,0,0,4.459938287734985,1
6,Inferencing,2933.62,6.20,3052.99,8.33,66.67,12,0,0,4.585135459899902,1
7,Inferencing,2208.44,4.71,2543.03,58.33,66.67,12,0,0,4.024983882904053,1
8,Inferencing,3589.06,6.91,3777.98,25.0,25.0,12,0,0,4.149903297424316,1
9,Inferencing,2162.46,3.99,2417.93,50.0,75.0,12,0,0,4.479918718338013,1
10,Inferencing,701.13,1.36,902.26,100.0,100.0,12,0,0,4.478398084640503,1
11,Inferencing,812.31,1.58,1002.52,91.67,100.0,12,0,0,3.4551217555999756,1
12,Inferencing,1476.84,3.01,1759.31,75.0,91.67,12,0,0,4.158385753631592,1
13,Inferencing,859.83,1.72,959.68,100.0,100.0,12,0,0,4.5579833984375,1
14,Inferencing,1692.67,3.48,1898.79,66.67,91.67,12,0,0,4.37552285194397,1
15,Inferencing,1051.43,2.16,1254.73,91.67,100.0,12,0,0,3.8828582763671875,1
16,Inferencing,1016.22,2.18,1246.72,91.67,100.0,12,0,0,4.348533630371094,1
17,Inferencing,918.33,1.95,1033.14,100.0,100.0,12,0,0,4.480487585067749,1
18,Inferencing,2613.61,5.51,2988.4,41.67,75.0,12,0,0,4.235083103179932,1
19,Inferencing,3885.23,9.22,4566.84,33.33,33.33,12,0,0,4.057490825653076,1
20,Inferencing,1808.26,3.75,2034.74,58.33,91.67,12,0,0,4.598118782043457,1
21,Inferencing,2053.85,3.97,2200.21,25.0,100.0,12,0,0,4.538182020187378,1
22,Inferencing,3301.46,6.09,3693.8,28.57,57.14,12,0,0,4.143407821655273,1
