Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Inferencing,2680.16,5.59,3327.0,46.15,65.38,83,0,0,27.00715923309326,1
2,Inferencing,1842.31,3.83,2285.69,50.0,80.77,26,0,0,9.243843078613281,1
3,Inferencing,6857.98,15.94,7062.48,0.0,0.0,26,0,0,9.703181028366089,1
4,Inferencing,9567.21,25.00,9806.73,0.0,0.0,26,0,0,9.63601803779602,1
5,Inferencing,6515.58,18.05,6564.92,0.0,0.0,24,2,0,6.9627509117126465,1
6,Inferencing,3965.12,10.01,4314.5,15.38,34.62,26,0,0,12.192559480667114,1
7,Inferencing,2088.82,4.50,2319.54,46.15,80.77,26,0,0,12.072854280471802,1
8,Inferencing,5934.29,11.31,6691.82,15.38,19.23,26,0,0,12.409924745559692,1
9,Inferencing,7200.66,13.86,7390.89,0.0,0.0,23,2,1,54.036720275878906,4
10,Inferencing,2899.43,5.86,3286.35,30.77,46.15,26,0,0,12.439697980880737,4
11,Inferencing,1224.59,2.54,1484.54,73.08,100.0,26,0,0,12.471263885498047,4
12,Inferencing,508.9,1.08,623.5,100.0,100.0,26,0,0,12.280173778533936,4
13,Inferencing,1623.29,3.78,2215.87,69.23,88.46,26,0,0,12.690619707107544,4
14,Inferencing,1623.54,3.11,1971.25,61.54,88.46,26,0,0,12.654398679733276,4
15,Inferencing,3904.88,6.71,3904.88,0.0,0.0,26,0,0,12.490021705627441,4
