Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Inferencing,6522.27,18.24,6690.25,0.0,0.0,187,6,0,84.409752368927,1
2,Inferencing,3437.17,9.46,3525.21,0.0,41.67,12,0,0,4.773091077804565,1
3,Inferencing,1082.77,2.96,1322.26,83.33,100.0,12,0,0,4.365847826004028,1
4,Inferencing,2105.36,4.85,3595.05,75.0,75.0,12,0,0,4.8683366775512695,1
5,Inferencing,6388.27,13.66,6488.77,0.0,0.0,11,0,1,36.01994776725769,4
6,Inferencing,588.79,1.26,724.77,100.0,100.0,12,0,0,4.527815580368042,4
7,Inferencing,1217.78,2.56,1575.22,83.33,91.67,12,0,0,4.246163606643677,4
8,Inferencing,4587.8,8.71,4944.66,8.33,25.0,12,0,0,4.498152494430542,4
9,Inferencing,1440.56,2.66,1795.93,66.67,91.67,12,0,0,4.210757493972778,4
10,Inferencing,3690.59,7.21,4127.28,16.67,58.33,11,0,1,28.22256064414978,6
11,Inferencing,1041.61,2.01,1229.11,91.67,100.0,12,0,0,104.65584540367126,6
12,Inferencing,1008.34,2.05,1158.75,91.67,100.0,12,0,0,104.33810997009277,6
13,Inferencing,547.71,1.10,659.48,100.0,100.0,12,0,0,103.85236287117004,6
14,Inferencing,764.49,1.57,915.76,100.0,100.0,12,0,0,103.80742478370667,6
15,Inferencing,936.23,1.96,1176.49,91.67,100.0,12,0,0,103.58094668388367,6
16,Inferencing,1360.87,2.92,1473.91,75.0,100.0,12,0,0,103.70671486854553,6
17,Inferencing,405.4,0.86,507.75,100.0,100.0,12,0,0,104.37375259399414,6
18,Inferencing,1394.75,2.89,1644.71,75.0,100.0,12,0,0,103.76580476760864,6
19,Inferencing,1601.88,3.93,2168.31,83.33,83.33,12,0,0,104.39095664024353,6
20,Inferencing,2466.29,5.06,2672.1,33.33,75.0,12,0,0,95.15652990341187,6
21,Inferencing,830.74,1.61,1018.32,100.0,100.0,12,0,0,92.92633366584778,6
