Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Inferencing,7417.74,15.19,7683.24,0.0,0.0,83,0,0,28.616329431533813,1
2,Inferencing,5811.29,11.98,6101.51,0.0,7.69,26,0,0,10.398468971252441,1
3,Inferencing,9620.51,22.37,9774.38,0.0,0.0,26,0,0,12.578071117401123,1
4,Inferencing,6533.23,17.22,6822.14,0.0,3.85,26,0,0,13.434836387634277,1
5,Inferencing,2252.94,6.28,2552.58,38.46,73.08,26,0,0,14.287738800048828,1
6,Inferencing,1790.06,4.36,2148.15,61.54,84.62,26,0,0,13.22917103767395,1
7,Inferencing,1593.08,3.46,1893.71,76.92,88.46,26,0,0,13.545167446136475,1
8,Inferencing,3921.01,7.47,4393.34,15.38,30.77,26,0,0,13.608431339263916,1
9,Inferencing,1257.0,2.38,1602.13,76.92,92.31,26,0,0,13.395291805267334,1
10,Inferencing,2865.0,5.81,3030.69,23.08,46.15,26,0,0,13.814506530761719,1
11,Inferencing,2094.11,4.28,2577.26,57.69,65.38,26,0,0,14.83068037033081,1
12,Inferencing,1325.91,2.83,1481.65,76.92,100.0,26,0,0,14.370227575302124,1
13,Inferencing,2262.96,5.27,2847.39,65.38,73.08,26,0,0,14.169726133346558,1
14,Inferencing,7927.34,14.99,8312.66,0.0,0.0,26,0,0,15.480340242385864,1
15,Inferencing,10503.49,18.01,10503.49,0.0,0.0,23,0,3,99.84685707092285,10
