Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Outlier,4325.49,8.76,4384.27,0.0,0.0,83,0,0,28.616329431533813,1
2,Outlier,8141.84,17.76,8164.15,0.0,0.0,26,0,0,10.398468971252441,1
3,Outlier,6220.95,13.61,6226.58,0.0,0.0,26,0,0,12.578071117401123,1
4,Outlier,4288.29,10.38,4294.96,0.0,0.0,26,0,0,13.434836387634277,1
5,Outlier,5142.26,14.54,5205.18,0.0,0.0,26,0,0,14.287738800048828,1
6,Outlier,5051.34,11.09,5061.12,0.0,0.0,26,0,0,13.22917103767395,1
7,Outlier,4915.42,10.59,4915.55,0.0,0.0,26,0,0,13.545167446136475,1
8,Outlier,5149.38,10.99,5162.54,0.0,0.0,26,0,0,13.608431339263916,1
9,Outlier,5287.73,10.64,5321.22,0.0,0.0,26,0,0,13.395291805267334,1
10,Outlier,5292.64,11.04,5306.33,0.0,0.0,26,0,0,13.814506530761719,1
11,Outlier,5173.41,9.88,5222.68,0.0,0.0,26,0,0,14.83068037033081,1
12,Outlier,4512.86,8.23,4574.61,0.0,0.0,26,0,0,14.370227575302124,1
13,Outlier,3982.5,7.31,3987.05,0.0,0.0,26,0,0,14.169726133346558,1
14,Outlier,6154.77,15.55,6244.5,0.0,0.0,26,0,0,15.480340242385864,1
15,Outlier,8411.85,15.47,8784.54,0.0,0.0,23,0,3,99.84685707092285,10
