Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Training,3269.87,6.13,3703.16,25.49,50.33,133,1,0,54.46579909324646,1
2,Training,3382.08,6.37,3864.21,24.84,50.33,4,0,0,1.708669900894165,1
3,Training,3343.19,6.34,3890.91,26.8,50.98,3,0,1,37.31225347518921,4
4,Training,2622.43,5.04,3260.62,45.1,62.09,3,0,1,3.429645538330078,4
5,Training,1418.84,2.80,1895.46,75.16,90.2,4,0,0,1.8007423877716064,4
6,Training,1360.59,2.71,1835.84,79.74,90.85,4,0,0,1.766603708267212,4
7,Training,1362.2,2.74,1893.05,79.74,87.58,4,0,0,1.7731177806854248,4
8,Training,1319.65,2.69,1797.54,83.01,89.54,4,0,0,1.8358252048492432,4
9,Training,1379.66,2.84,1917.12,81.7,89.54,4,0,0,1.7886669635772705,4
10,Training,1307.46,2.72,1946.74,81.7,90.2,1,3,0,31.026904344558716,4
11,Training,1328.98,2.82,1915.17,81.05,91.5,0,4,0,57.39985394477844,4
12,Training,1483.97,3.24,2241.0,77.78,89.54,3,1,0,2.071260452270508,4
13,Training,1596.48,3.58,2480.13,76.47,86.93,4,0,0,1.7571313381195068,4
14,Training,1467.29,3.31,2159.9,77.78,85.62,1,3,0,11.305890560150146,4
15,Training,1543.11,3.55,2236.83,75.82,83.66,1,3,0,4.698507308959961,4
16,Training,1662.07,3.92,2429.32,73.2,81.05,4,0,0,1.767226219177246,4
17,Training,1695.4,4.05,2428.89,71.9,80.39,4,0,0,1.8074486255645752,4
18,Training,1713.47,4.15,2412.22,69.93,81.7,4,0,0,1.7762367725372314,4
19,Training,1719.75,4.20,2386.68,67.32,79.74,4,0,0,1.7965319156646729,4
20,Training,1735.37,4.28,2395.87,69.28,77.12,4,0,0,1.8011596202850342,4
21,Training,1693.13,4.18,2293.36,69.28,75.82,4,0,0,1.7712211608886719,4
22,Training,1615.69,4.01,2150.35,66.01,79.08,4,0,0,1.7741951942443848,4
23,Training,1550.71,3.85,2051.72,68.63,79.74,4,0,0,1.910341501235962,4
24,Training,1457.24,3.63,1910.38,72.55,81.7,4,0,0,1.801877737045288,4
