Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Inferencing,2729.65,5.40,3024.9,33.33,66.67,85,2,0,38.590826988220215,1
2,Inferencing,6609.18,13.87,6776.69,0.0,0.0,16,0,0,6.238725900650024,1
3,Inferencing,2482.43,4.96,2651.71,25.0,75.0,9,7,0,11.839718580245972,1
4,Inferencing,1179.4,2.42,1271.04,100.0,100.0,16,0,0,6.2593231201171875,1
5,Inferencing,3560.52,8.36,4766.0,58.33,58.33,16,0,0,6.333701848983765,1
6,Inferencing,2187.05,5.15,2375.32,50.0,75.0,12,4,0,19.496268272399902,1
7,Inferencing,1400.46,3.17,1701.65,75.0,83.33,15,1,0,7.162866115570068,1
8,Inferencing,2220.78,5.66,2567.71,50.0,75.0,16,0,0,6.397780418395996,1
9,Inferencing,2877.33,7.94,3212.22,33.33,66.67,16,0,0,5.772260665893555,1
10,Inferencing,1180.57,3.29,1267.1,100.0,100.0,16,0,0,6.410562753677368,1
11,Inferencing,2130.68,5.91,2269.69,58.33,83.33,16,0,0,5.856852769851685,1
12,Inferencing,1923.68,5.18,2330.63,50.0,66.67,16,0,0,6.299837589263916,1
13,Inferencing,1899.95,4.39,2486.06,66.67,66.67,16,0,0,6.242363214492798,1
14,Inferencing,1055.74,2.31,1465.68,83.33,91.67,16,0,0,6.3420422077178955,1
15,Inferencing,1127.32,2.45,1293.52,83.33,100.0,16,0,0,3365.265740633011,1
16,Inferencing,1402.36,2.89,1698.3,66.67,91.67,16,0,0,5.873135566711426,1
17,Inferencing,4348.65,8.17,4624.56,0.0,25.0,16,0,0,6.092177629470825,1
18,Inferencing,1709.83,3.17,1918.38,66.67,91.67,16,0,0,5.521965265274048,1
19,Inferencing,1221.59,2.38,1534.22,75.0,100.0,16,0,0,5.449872255325317,1
20,Inferencing,1325.99,2.59,1618.0,75.0,91.67,16,0,0,5.249367952346802,1
21,Inferencing,827.97,1.70,1060.28,100.0,100.0,16,0,0,5.131141901016235,1
22,Inferencing,1228.51,2.50,1328.94,91.67,100.0,16,0,0,4.802525520324707,1
23,Inferencing,737.59,1.51,879.32,100.0,100.0,16,0,0,4.701990604400635,1
24,Inferencing,1516.26,3.19,1656.29,75.0,100.0,16,0,0,4.833137035369873,1
25,Inferencing,2127.28,4.55,2264.09,41.67,83.33,16,0,0,4.781957626342773,1
26,Inferencing,1639.35,3.47,1705.1,75.0,100.0,16,0,0,4.756976842880249,1
27,Inferencing,1883.22,4.06,2417.2,58.33,75.0,16,0,0,4.840143918991089,1
28,Inferencing,3090.19,7.53,3754.13,33.33,66.67,16,0,0,4.408632516860962,1
29,Inferencing,1686.54,3.40,1903.06,66.67,91.67,15,1,0,5.19052267074585,1
30,Inferencing,1283.75,2.48,1399.4,91.67,100.0,16,0,0,4.258947372436523,1
31,Inferencing,3102.96,5.54,3517.39,40.0,40.0,16,0,0,4.268283367156982,1
