Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Inferencing,7660.18,17.74,7896.46,0.0,7.69,134,0,0,60.76236414909363,1
2,Inferencing,5882.97,15.36,6122.57,0.0,3.85,26,0,0,10.868175029754639,1
3,Inferencing,3742.04,10.34,3909.94,0.0,30.77,26,0,0,10.950381994247437,1
4,Inferencing,2255.27,5.75,2670.78,50.0,61.54,26,0,0,11.033100605010986,1
5,Inferencing,1964.23,4.24,2120.79,50.0,84.62,26,0,0,10.950133800506592,1
6,Inferencing,2653.32,5.24,3225.29,42.31,50.0,26,0,0,10.895954608917236,1
7,Inferencing,2518.51,4.89,2940.74,30.77,76.92,26,0,0,10.998433589935303,1
8,Inferencing,1381.19,2.78,1870.5,73.08,88.46,26,0,0,11.24616551399231,1
9,Inferencing,1208.29,2.51,1370.0,80.77,100.0,26,0,0,10.927772760391235,1
10,Inferencing,1538.57,3.27,1821.99,61.54,92.31,26,0,0,11.175729513168335,1
11,Inferencing,2370.19,5.56,3391.31,53.85,69.23,26,0,0,10.771207094192505,1
12,Inferencing,1690.64,3.23,2084.63,61.54,84.62,26,0,0,9.649944543838501,1
