Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Inferencing,118.75,0.23,157.88,100.0,100.0,87,0,0,52.58676862716675,1
2,Inferencing,939.36,1.85,1002.95,100.0,100.0,8,0,0,4.186121463775635,1
3,Inferencing,3219.67,6.83,3819.79,25.0,75.0,8,0,0,4.301790952682495,1
4,Inferencing,4821.2,10.41,4899.24,0.0,0.0,8,0,0,4.0156495571136475,1
5,Inferencing,1987.33,4.09,2196.16,50.0,75.0,8,0,0,4.933259725570679,1
6,Inferencing,881.96,1.76,958.69,100.0,100.0,8,0,0,4.945037603378296,1
7,Inferencing,1221.11,2.47,1461.64,75.0,100.0,8,0,0,5.188335418701172,1
8,Inferencing,251.92,0.50,288.48,100.0,100.0,8,0,0,5.200273275375366,1
9,Inferencing,661.42,1.32,724.17,100.0,100.0,8,0,0,4.918695449829102,1
10,Inferencing,1063.34,2.16,1190.55,100.0,100.0,8,0,0,5.074166536331177,1
11,Inferencing,2146.08,4.44,2172.38,50.0,100.0,8,0,0,5.627842426300049,1
12,Inferencing,2323.48,4.83,2324.7,0.0,100.0,8,0,0,4.979055881500244,1
13,Inferencing,3385.58,7.23,3426.57,0.0,25.0,8,0,0,4.9551801681518555,1
14,Inferencing,4762.64,10.64,4992.0,0.0,0.0,8,0,0,5.286090612411499,1
15,Inferencing,7328.26,17.90,7902.22,0.0,25.0,7,0,1,61.040937662124634,4
16,Inferencing,7509.17,17.79,7513.65,0.0,0.0,6,1,1,83.42478609085083,6
