Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Training,976.2,2.06,1352.66,91.51,95.28,186,6,1,92.53262686729431,4
2,Training,988.92,2.17,1444.36,91.04,94.34,20,0,0,6.685990571975708,4
3,Training,938.03,2.09,1409.09,91.51,94.34,20,0,0,7.089649200439453,4
4,Training,911.97,2.06,1378.68,91.51,94.34,20,0,0,6.526973724365234,4
5,Training,937.69,2.14,1426.56,91.04,93.4,20,0,0,7.544856071472168,4
6,Training,902.85,2.08,1338.54,91.51,96.23,20,0,0,6.276070833206177,4
7,Training,882.96,2.05,1325.86,92.45,96.23,20,0,0,7.344152212142944,4
8,Training,771.12,1.83,1171.44,94.34,97.17,20,0,0,6.857404947280884,4
9,Training,777.08,1.83,1168.78,94.34,97.17,20,0,0,7.421478748321533,4
10,Training,781.27,1.83,1172.09,94.34,97.64,20,0,0,6.765983581542969,4
11,Training,756.46,1.77,1145.31,95.28,97.64,20,0,0,7.227734088897705,4
12,Training,733.13,1.71,1132.91,95.75,97.64,20,0,0,6.529581785202026,4
13,Training,730.85,1.70,1132.07,95.75,97.64,20,0,0,7.282179832458496,4
14,Training,733.01,1.70,1132.27,95.75,97.64,20,0,0,6.5882697105407715,4
15,Training,714.79,1.66,1108.19,96.23,97.64,20,0,0,7.333691596984863,4
16,Training,689.15,1.60,1088.36,96.23,97.64,20,0,0,7.139516592025757,4
17,Training,683.95,1.58,1080.49,96.23,97.64,20,0,0,7.016891002655029,4
18,Training,657.3,1.51,1059.6,95.75,97.64,20,0,0,6.65712308883667,4
19,Training,585.12,1.28,845.88,96.7,99.06,20,0,0,7.385601758956909,4
20,Training,557.57,1.19,738.62,97.64,100.0,20,0,0,7.125977516174316,4
21,Training,564.44,1.19,747.22,97.17,100.0,20,0,0,7.144340753555298,4
22,Training,568.49,1.19,742.72,98.11,100.0,20,0,0,6.900643587112427,4
