Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Training,1216.4,2.45,1541.68,78.92,95.1,185,0,0,60.330461740493774,1
2,Training,1211.21,2.50,1477.74,81.37,95.59,4,0,0,1.3494484424591064,1
3,Training,1177.15,2.47,1411.36,84.8,99.02,4,0,0,1.3546688556671143,1
4,Training,1167.56,2.47,1397.0,86.27,99.51,4,0,0,1.2607474327087402,1
5,Training,1190.42,2.53,1441.92,85.29,97.06,4,0,0,1.2806847095489502,1
6,Training,1193.34,2.58,1473.91,83.33,95.1,4,0,0,1.2965950965881348,1
7,Training,1204.95,2.62,1514.32,82.35,94.61,4,0,0,1.4030883312225342,1
8,Training,1161.29,2.58,1466.53,81.86,95.1,4,0,0,1.4536545276641846,1
9,Training,1160.5,2.58,1457.42,81.86,96.08,4,0,0,1.483055591583252,1
10,Training,1200.68,2.69,1503.66,81.37,94.61,4,0,0,1.5051429271697998,1
11,Training,1200.47,2.71,1499.61,82.35,94.61,4,0,0,1.5181825160980225,1
12,Training,1157.4,2.65,1422.27,84.31,96.08,4,0,0,1.4214510917663574,1
13,Training,1150.02,2.63,1402.2,84.31,97.55,4,0,0,1.4306137561798096,1
14,Training,1140.51,2.62,1395.05,85.29,97.55,4,0,0,1.5545437335968018,1
15,Training,1142.12,2.63,1398.02,84.31,97.55,4,0,0,1.5269598960876465,1
16,Training,1176.48,2.71,1447.96,83.33,96.08,4,0,0,1.530299186706543,1
17,Training,1177.78,2.73,1449.2,83.33,97.06,4,0,0,1.504594087600708,1
18,Training,1182.51,2.74,1451.95,81.86,97.06,4,0,0,1.4883406162261963,1
19,Training,1161.69,2.71,1412.32,81.37,98.04,4,0,0,1.5492825508117676,1
20,Training,1132.21,2.65,1363.75,83.82,99.02,4,0,0,1.5585715770721436,1
21,Training,1136.78,2.66,1373.52,84.31,99.02,4,0,0,1.4927482604980469,1
22,Training,1124.14,2.64,1370.29,83.82,99.51,4,0,0,1.4806647300720215,1
23,Training,1160.28,2.72,1420.54,81.37,97.55,4,0,0,1.47566819190979,1
24,Training,1152.06,2.70,1418.38,80.39,97.06,4,0,0,1.4024510383605957,1
25,Training,1166.22,2.72,1436.12,79.41,97.06,4,0,0,1.5927529335021973,1
26,Training,1155.25,2.69,1422.54,79.9,97.55,4,0,0,1.5644104480743408,1
27,Training,1137.28,2.64,1405.89,80.88,97.55,4,0,0,1.3867485523223877,1
28,Training,1151.6,2.66,1415.05,80.88,97.55,4,0,0,1.525075912475586,1
29,Training,1169.64,2.69,1435.32,79.41,98.04,4,0,0,1.464409589767456,1
30,Training,1203.82,2.76,1467.64,78.43,97.55,4,0,0,1.4667887687683105,1
31,Training,1214.13,2.78,1483.37,77.45,97.06,4,0,0,1.5280206203460693,1
32,Training,1225.33,2.80,1493.04,75.98,97.06,4,0,0,1.5505681037902832,1
33,Training,1221.81,2.79,1489.05,77.94,97.06,4,0,0,1.5370898246765137,1
34,Training,1235.88,2.81,1505.04,77.94,96.08,4,0,0,1.3911137580871582,1
35,Training,1243.75,2.83,1524.05,78.43,94.61,4,0,0,1.553185224533081,1
36,Training,1240.7,2.82,1516.88,78.92,95.1,4,0,0,1.4909274578094482,1
37,Training,1248.32,2.84,1518.46,79.41,95.1,4,0,0,1.5115008354187012,1
38,Training,1264.83,2.87,1523.87,78.92,95.59,4,0,0,1.4805450439453125,1
39,Training,1248.21,2.83,1511.18,79.41,96.08,4,0,0,1.5304687023162842,1
40,Training,1225.06,2.78,1494.19,79.41,96.08,4,0,0,1.4124000072479248,1
41,Training,1211.56,2.75,1484.78,79.9,96.08,4,0,0,1.5876078605651855,1
42,Training,1197.47,2.72,1466.54,79.9,96.57,4,0,0,1.4652340412139893,1
43,Training,1194.58,2.69,1453.08,79.9,96.57,4,0,0,1.4909772872924805,1
44,Training,1173.03,2.64,1432.11,80.88,97.06,4,0,0,1.5811843872070312,1
45,Training,1145.44,2.57,1418.29,81.37,96.08,4,0,0,1.603654146194458,1
46,Training,1114.04,2.50,1397.93,84.31,96.57,4,0,0,1.4958608150482178,1
47,Training,1095.02,2.46,1380.85,83.82,96.57,4,0,0,1.4357695579528809,1
48,Training,1080.23,2.42,1365.75,84.31,96.57,4,0,0,1.4047229290008545,1
49,Training,1069.47,2.39,1356.35,84.31,97.06,4,0,0,1.6438148021697998,1
50,Training,1064.26,2.37,1348.91,84.31,97.06,4,0,0,1.5019607543945312,1
